ID_ID,day,month,year,TotalCase,DeathCount,CountriesAndTerritories,GeoId,countryterritoryCode,popData2018,cONTINENT
325,19,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
326,18,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
327,17,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
328,16,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
329,15,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
330,14,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
331,13,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
332,12,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
333,11,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
334,10,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
335,9,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
336,8,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
337,7,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
338,6,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
339,5,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
340,4,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
341,3,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
342,2,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
343,1,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
344,31,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
345,30,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
346,29,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
347,28,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
348,27,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
349,26,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
350,25,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
351,24,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
352,23,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
353,22,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
354,21,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
355,20,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
356,19,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
357,18,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
358,17,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
359,16,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
360,15,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
361,14,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
362,13,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
363,12,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
364,11,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
365,10,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
366,9,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
367,8,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
368,7,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
369,6,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
370,5,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
371,4,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
372,3,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
373,2,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
374,1,1,2020,0,0,Algeria,DZ,DZA,42228429,Africa
375,31,12,2019,0,0,Algeria,DZ,DZA,42228429,Africa
376,31,5,2020,0,0,Andorra,AD,AND,77006,Europe
377,30,5,2020,1,0,Andorra,AD,AND,77006,Europe
378,29,5,2020,0,0,Andorra,AD,AND,77006,Europe
379,28,5,2020,0,0,Andorra,AD,AND,77006,Europe
380,27,5,2020,0,0,Andorra,AD,AND,77006,Europe
